"SUID","Degree","Edge_type","log2FoldChange","name","Regulatury","selected","SelfLoops","shared name","type"
"93662","1","mRNA-miRNA","3.44479407017237","EGFL6","UP","false","0","EGFL6","mRNA"
"93663",,"mRNA-miRNA","7.10826718333971","PPBP","UP","false",,"PPBP","mRNA"
"93664","1","mRNA-miRNA","-1.31062133804013","COL4A5","DOWN","false","0","COL4A5","mRNA"
"93665","0","mRNA-miRNA","1.26332601766453","OSMR","UP","false","0","OSMR","mRNA"
"93666",,"mRNA-miRNA","1.20619748926653","ZNF71","UP","false",,"ZNF71","mRNA"
"93667",,"mRNA-miRNA","-0.890365564125603","NMT2","DOWN","false",,"NMT2","mRNA"
"93668","1","mRNA-miRNA","-1.24566312365906","PDLIM1","DOWN","false","0","PDLIM1","mRNA"
"93669","3","mRNA-miRNA","2.71682269124581","TNFSF11","UP","false","0","TNFSF11","mRNA"
"93670","2","mRNA-miRNA","1.66930431506193","FBN1","UP","false","0","FBN1","mRNA"
"93671",,"mRNA-miRNA","1.38851300874484","SEMA5B","UP","false",,"SEMA5B","mRNA"
"93672","2","mRNA-miRNA","1.40654816379327","DDX39A","UP","false","0","DDX39A","mRNA"
"93673","0","mRNA-miRNA","0.953897752604891","ANKZF1","UP","false","0","ANKZF1","mRNA"
"93674","3","mRNA-miRNA","2.0555464087641","ANGPT2","UP","false","0","ANGPT2","mRNA"
"93675",,"mRNA-miRNA","-0.862500163181488","ADD1","DOWN","false","0","ADD1","mRNA"
"93676","1","mRNA-miRNA","1.32227266087728","LRP5L","UP","false","0","LRP5L","mRNA"
"93677","1","mRNA-miRNA","-1.87387711392249","C6orf136","DOWN","false","0","C6orf136","mRNA"
"93678","9","mRNA-miRNA","2.04758479862974","DUSP4","UP","false","1","DUSP4","mRNA"
"93679","0","mRNA-miRNA","1.54888584488661","WDR74","UP","false","0","WDR74","mRNA"
"93680","0","mRNA-miRNA","-1.12055126257716","IER3IP1","DOWN","false","0","IER3IP1","mRNA"
"93681",,"mRNA-miRNA","1.54160014310112","HAUS5","UP","false","0","HAUS5","mRNA"
"93682","0","mRNA-miRNA","1.29709208457638","ADAMTS10","UP","false","0","ADAMTS10","mRNA"
"93683",,"mRNA-miRNA","1.11901330612829","ENOPH1","UP","false",,"ENOPH1","mRNA"
"93684","1","mRNA-miRNA","-2.9705603834801","CA12","DOWN","false","0","CA12","mRNA"
"93685","0","mRNA-miRNA","1.45764423988866","URB1","UP","false","0","URB1","mRNA"
"93686",,"mRNA-miRNA","1.61637738676051","KIFC2","UP","false","0","KIFC2","mRNA"
